"SKU","产品名称","材质","提示词 (Prompt)"
"titanium-suspension-tie-rod","Titanium Suspension Tie Rod","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Suspension Tie Rod component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-tank-rim-mounting-bracket","Titanium Tank Rim Mounting Bracket","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Tank Rim Mounting Bracket component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-tavi-frame","Titanium TAVI Frame","Nitinol (ASTM F2063)","High-quality 3D product rendering of a Titanium TAVI Frame component, precision CNC machined from Nitinol (ASTM F2063) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-thermowell","Titanium Thermowell","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Thermowell component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-threaded-blind-stud-interior","Titanium Threaded Blind Stud (Interior)","Grade 2 CP-Ti (Bead Blasted)","High-quality 3D product rendering of a Titanium Threaded Blind Stud (Interior) component, precision CNC machined from Grade 2 CP-Ti (Bead Blasted) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-threaded-npt-nipple","Titanium Threaded NPT Nipple","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Threaded NPT Nipple component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-threaded-rod-1m","Titanium Threaded Rod (1m)","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Threaded Rod (1m) component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-thru-axle","Titanium Thru-Axle","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Thru-Axle component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-trim-tab-hydraulic-ram-end","Titanium Trim Tab Hydraulic Ram End","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Trim Tab Hydraulic Ram End component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-tws-earbud-grille","Titanium TWS Earbud Grille","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium TWS Earbud Grille component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-u-bolt","Titanium U-Bolt","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium U-Bolt component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-uhp-hydrogen-tube-fitting","Titanium UHP Hydrogen Tube Fitting","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium UHP Hydrogen Tube Fitting component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-booster-35khz","Titanium Ultrasonic Booster 35kHz","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Booster 35kHz component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-connecting-stud","Titanium Ultrasonic Connecting Stud","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Connecting Stud component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-food-cutting-blade","Titanium Ultrasonic Food Cutting Blade","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Food Cutting Blade component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-horn-20khz","Titanium Ultrasonic Horn 20kHz","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Horn 20kHz component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-knurled-insert","Titanium Ultrasonic Knurled Insert","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Knurled Insert component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-medical-sonotrode-40khz","Titanium Ultrasonic Medical Sonotrode 40kHz","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Medical Sonotrode 40kHz component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-nodal-clamp-ring","Titanium Ultrasonic Nodal Clamp Ring","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Nodal Clamp Ring component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-rotary-horn","Titanium Ultrasonic Rotary Horn","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Rotary Horn component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ultrasonic-slot-patterned-horn","Titanium Ultrasonic Slot-Patterned Horn","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Ultrasonic Slot-Patterned Horn component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-underwater-camera-housing","Titanium Underwater Camera Housing","Grade 5 Ti-6Al-4V ELI","High-quality 3D product rendering of a Titanium Underwater Camera Housing component, precision CNC machined from Grade 5 Ti-6Al-4V ELI , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-upper-wishbone-clevis","Titanium Upper Wishbone Clevis","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Upper Wishbone Clevis component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-valve-strainer-basket","Titanium Valve Strainer Basket","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Valve Strainer Basket component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-vcr-female-nut","Titanium VCR Female Nut","Grade 2 CP-Ti (UHP Melt)","High-quality 3D product rendering of a Titanium VCR Female Nut component, precision CNC machined from Grade 2 CP-Ti (UHP Melt) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-vcr-male-gland","Titanium VCR Male Gland","Grade 2 CP-Ti (UHP Melt)","High-quality 3D product rendering of a Titanium VCR Male Gland component, precision CNC machined from Grade 2 CP-Ti (UHP Melt) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-vcr-micro-gasket","Titanium VCR Micro-Gasket","Grade 2 CP-Ti (UHP Melt)","High-quality 3D product rendering of a Titanium VCR Micro-Gasket component, precision CNC machined from Grade 2 CP-Ti (UHP Melt) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-vented-vacuum-screw","Titanium Vented Vacuum Screw","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Vented Vacuum Screw component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-wafer-handling-end-effector","Titanium Wafer Handling End-Effector","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Wafer Handling End-Effector component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-wallet-card-case","Titanium Wallet Card Case","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Wallet Card Case component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-water-bottle-cage-bolt","Titanium Water Bottle Cage Bolt","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Water Bottle Cage Bolt component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-water-bottle-cage","Titanium Water Bottle Cage","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Water Bottle Cage component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-waterjet-impeller","Titanium Waterjet Impeller","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Waterjet Impeller component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-weld-neck-flange","Titanium Weld Neck Flange","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Weld Neck Flange component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-wheel-hub-pawl-spring","Titanium Wheel Hub Pawl Spring","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Wheel Hub Pawl Spring component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-wheel-spoke","Titanium Wheel Spoke","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Wheel Spoke component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
